Wavelength (nm)	n (exp.)	k (exp.)
865	3.48266	2.98766
866	3.48452	2.98775
867	3.48638	2.98784
868	3.48823	2.98792
869	3.49008	2.988
870	3.49192	2.98808
871	3.49376	2.98816
872	3.49559	2.98824
873	3.49741	2.98831
874	3.49923	2.98839
875	3.50104	2.98846
876	3.50285	2.98853
877	3.50465	2.98859
878	3.50644	2.98866
879	3.50823	2.98872
880	3.51001	2.98878
881	3.51179	2.98884
882	3.51356	2.9889
883	3.51533	2.98896
884	3.51709	2.98901
885	3.51884	2.98907
886	3.52059	2.98912
887	3.52234	2.98917
888	3.52407	2.98922
889	3.5258	2.98926
890	3.52753	2.98931
891	3.52925	2.98935
892	3.53096	2.98939
893	3.53267	2.98943
894	3.53437	2.98947
895	3.53606	2.98951
896	3.53775	2.98955
897	3.53944	2.98958
898	3.54111	2.98962
899	3.54278	2.98965
900	3.54445	2.98968
901	3.54611	2.98971
902	3.54776	2.98974
903	3.54941	2.98977
904	3.55105	2.98979
905	3.55269	2.98982
906	3.55431	2.98984
907	3.55594	2.98987
908	3.55756	2.98989
909	3.55917	2.98991
910	3.56077	2.98993
911	3.56237	2.98995
912	3.56397	2.98996
913	3.56555	2.98998
914	3.56713	2.99
915	3.56871	2.99001
916	3.57028	2.99002
917	3.57184	2.99004
918	3.5734	2.99005
919	3.57495	2.99006
920	3.57649	2.99007
921	3.57803	2.99008
922	3.57956	2.99009
923	3.58109	2.9901
924	3.58261	2.99011
925	3.58412	2.99011
926	3.58563	2.99012
927	3.58714	2.99012
928	3.58863	2.99013
929	3.59012	2.99014
930	3.59161	2.99014
931	3.59308	2.99014
932	3.59456	2.99015
933	3.59602	2.99015
934	3.59748	2.99015
935	3.59894	2.99015
936	3.60038	2.99015
937	3.60182	2.99015
938	3.60326	2.99016
939	3.60469	2.99016
940	3.60611	2.99016
941	3.60753	2.99016
942	3.60894	2.99015
943	3.61035	2.99015
944	3.61175	2.99015
945	3.61314	2.99015
946	3.61453	2.99015
947	3.61591	2.99015
948	3.61728	2.99015
949	3.61865	2.99015
950	3.62001	2.99014
951	3.62137	2.99014
952	3.62272	2.99014
953	3.62406	2.99014
954	3.6254	2.99014
955	3.62674	2.99014
956	3.62806	2.99014
957	3.62938	2.99014
958	3.6307	2.99013
959	3.63201	2.99013
960	3.63331	2.99013
961	3.63461	2.99013
962	3.6359	2.99013
963	3.63718	2.99013
964	3.63846	2.99013
965	3.63973	2.99013
966	3.641	2.99013
967	3.64226	2.99014
968	3.64351	2.99014
969	3.64476	2.99014
970	3.64601	2.99014
971	3.64724	2.99015
972	3.64847	2.99015
973	3.6497	2.99015
974	3.65092	2.99016
975	3.65213	2.99016
976	3.65334	2.99017
977	3.65454	2.99018
978	3.65574	2.99018
979	3.65693	2.99019
980	3.65811	2.9902
981	3.65929	2.99021
982	3.66046	2.99022
983	3.66163	2.99023
984	3.66279	2.99024
985	3.66394	2.99025
986	3.66509	2.99027
987	3.66623	2.99028
988	3.66737	2.99029
989	3.6685	2.99031
990	3.66963	2.99033
991	3.67075	2.99034
992	3.67186	2.99036
993	3.67297	2.99038
994	3.67408	2.9904
995	3.67517	2.99042
996	3.67626	2.99044
997	3.67735	2.99047
998	3.67843	2.99049
999	3.6795	2.99052
