Wavelength	n	k
1050	2.4947	0.4986
1051	2.49547	0.49863
1052	2.49623	0.49866
1053	2.49699	0.49868
1054	2.49776	0.4987
1055	2.49852	0.49872
1056	2.49928	0.49873
1057	2.50004	0.49875
1058	2.5008	0.49876
1059	2.50155	0.49877
1060	2.50231	0.49878
1061	2.50306	0.49878
1062	2.50382	0.49879
1063	2.50457	0.49879
1064	2.50532	0.49879
1065	2.50608	0.49878
1066	2.50683	0.49878
1067	2.50758	0.49877
1068	2.50832	0.49877
1069	2.50907	0.49876
1070	2.50982	0.49874
1071	2.51056	0.49873
1072	2.51131	0.49871
1073	2.51205	0.49869
1074	2.51279	0.49867
1075	2.51353	0.49865
1076	2.51427	0.49863
1077	2.51501	0.4986
1078	2.51575	0.49857
1079	2.51648	0.49854
1080	2.51722	0.49851
1081	2.51795	0.49848
1082	2.51869	0.49844
1083	2.51942	0.4984
1084	2.52015	0.49837
1085	2.52088	0.49833
1086	2.52161	0.49828
1087	2.52234	0.49824
1088	2.52306	0.49819
1089	2.52379	0.49814
1090	2.52451	0.49809
1091	2.52523	0.49804
1092	2.52596	0.49799
1093	2.52668	0.49793
1094	2.52739	0.49788
1095	2.52811	0.49782
1096	2.52883	0.49776
1097	2.52955	0.4977
1098	2.53026	0.49763
1099	2.53098	0.49756
1100	2.53169	0.4975
1101	2.5324	0.49743
1102	2.53311	0.49736
1103	2.53382	0.49729
1104	2.53452	0.49721
1105	2.53523	0.49714
1106	2.53594	0.49706
1107	2.53664	0.49698
1108	2.53734	0.4969
1109	2.53804	0.49682
1110	2.53874	0.49673
1111	2.53944	0.49665
1112	2.54014	0.49656
1113	2.54084	0.49647
1114	2.54153	0.49638
1115	2.54223	0.49629
1116	2.54292	0.4962
1117	2.54361	0.4961
1118	2.5443	0.49601
1119	2.54499	0.49591
1120	2.54568	0.49581
1121	2.54637	0.49571
1122	2.54705	0.49561
1123	2.54773	0.4955
1124	2.54842	0.4954
1125	2.5491	0.49529
1126	2.54978	0.49518
1127	2.55046	0.49507
1128	2.55114	0.49496
1129	2.55181	0.49485
1130	2.55249	0.49474
1131	2.55316	0.49462
1132	2.55383	0.4945
1133	2.5545	0.49439
1134	2.55518	0.49427
1135	2.55584	0.49415
1136	2.55651	0.49402
1137	2.55718	0.4939
1138	2.55784	0.49378
1139	2.55851	0.49365
1140	2.55917	0.49352
1141	2.55983	0.49339
1142	2.56049	0.49326
1143	2.56115	0.49313
1144	2.5618	0.493
1145	2.56246	0.49286
1146	2.56311	0.49273
1147	2.56377	0.49259
1148	2.56442	0.49245
1149	2.56507	0.49231
1150	2.56572	0.49217
1151	2.56637	0.49203
1152	2.56701	0.49189
1153	2.56766	0.49174
1154	2.5683	0.4916
1155	2.56895	0.49145
1156	2.56959	0.4913
1157	2.57023	0.49115
1158	2.57087	0.491
1159	2.5715	0.49085
1160	2.57214	0.4907
1161	2.57277	0.49055
1162	2.57341	0.49039
1163	2.57404	0.49023
1164	2.57467	0.49008
1165	2.5753	0.48992
1166	2.57593	0.48976
1167	2.57655	0.4896
1168	2.57718	0.48944
1169	2.5778	0.48927
1170	2.57843	0.48911
1171	2.57905	0.48894
1172	2.57967	0.48878
1173	2.58029	0.48861
1174	2.58091	0.48844
1175	2.58152	0.48827
1176	2.58214	0.4881
1177	2.58275	0.48793
1178	2.58336	0.48776
1179	2.58397	0.48758
1180	2.58458	0.48741
1181	2.58519	0.48723
1182	2.5858	0.48706
1183	2.5864	0.48688
1184	2.58701	0.4867
1185	2.58761	0.48652
1186	2.58821	0.48634
1187	2.58881	0.48616
1188	2.58941	0.48597
1189	2.59001	0.48579
1190	2.59061	0.48561
1191	2.5912	0.48542
1192	2.59179	0.48523
1193	2.59239	0.48505
1194	2.59298	0.48486
1195	2.59357	0.48467
1196	2.59416	0.48448
1197	2.59474	0.48429
1198	2.59533	0.4841
1199	2.59591	0.4839
1200	2.5965	0.48371
1201	2.59708	0.48351
1202	2.59766	0.48332
1203	2.59824	0.48312
1204	2.59882	0.48293
1205	2.59939	0.48273
1206	2.59997	0.48253
1207	2.60054	0.48233
1208	2.60111	0.48213
1209	2.60168	0.48193
1210	2.60226	0.48173
1211	2.60282	0.48152
1212	2.60339	0.48132
1213	2.60396	0.48111
1214	2.60452	0.48091
1215	2.60508	0.4807
1216	2.60565	0.4805
1217	2.60621	0.48029
1218	2.60677	0.48008
